2024-04-18 06:30:43:INFO: step:    4200	 loss: 9.78	 lr: 0.0008141	 spent: 7.8 seconds
2024-04-18 06:30:51:INFO: step:    4220	 loss: 8.90	 lr: 0.0008113	 spent: 7.9 seconds
2024-04-18 06:30:59:INFO: step:    4240	 loss: 10.33	 lr: 0.0008084	 spent: 7.9 seconds
2024-04-18 06:31:07:INFO: step:    4260	 loss: 9.28	 lr: 0.0008056	 spent: 7.8 seconds
2024-04-18 06:31:16:INFO: step:    4280	 loss: 9.35	 lr: 0.0008027	 spent: 8.8 seconds
2024-04-18 06:31:23:INFO: step:    4300	 loss: 11.51	 lr: 0.0007997	 spent: 7.8 seconds
2024-04-18 06:31:31:INFO: step:    4320	 loss: 10.03	 lr: 0.0007967	 spent: 7.9 seconds
2024-04-18 06:31:39:INFO: step:    4340	 loss: 8.89	 lr: 0.0007937	 spent: 7.8 seconds
2024-04-18 06:31:47:INFO: step:    4360	 loss: 9.14	 lr: 0.0007906	 spent: 7.8 seconds
2024-04-18 06:31:55:INFO: step:    4380	 loss: 9.64	 lr: 0.0007876	 spent: 8.3 seconds
2024-04-18 06:32:03:INFO: step:    4400	 loss: 10.08	 lr: 0.0007844	 spent: 7.9 seconds
2024-04-18 06:32:11:INFO: step:    4420	 loss: 9.38	 lr: 0.0007812	 spent: 7.7 seconds
2024-04-18 06:32:19:INFO: step:    4440	 loss: 10.45	 lr: 0.0007780	 spent: 7.9 seconds
2024-04-18 06:32:26:INFO: step:    4460	 loss: 10.20	 lr: 0.0007748	 spent: 7.7 seconds
2024-04-18 06:32:34:INFO: step:    4480	 loss: 9.10	 lr: 0.0007715	 spent: 7.8 seconds
2024-04-18 06:33:03:INFO: step:    4500	 loss: 10.41	 lr: 0.0007682	 spent: 28.9 seconds
2024-04-18 06:33:11:INFO: step:    4520	 loss: 9.88	 lr: 0.0007648	 spent: 7.7 seconds
2024-04-18 06:33:19:INFO: step:    4540	 loss: 10.39	 lr: 0.0007615	 spent: 7.9 seconds
2024-04-18 06:33:26:INFO: step:    4560	 loss: 10.10	 lr: 0.0007580	 spent: 7.7 seconds
